text,label
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
여태 쓴 제품 중 제일 좋아요,1
기대 이상이에요,1
잘 도착했고 포장도 깔끔했어요,1
효과가 정말 좋았어요,1
직원들이 너무 친절했어요,1
자주 애용할게요,1
계속 쓰고 싶어요,1
유용하게 잘 사용하고 있어요,1
가격 대비 성능 최고입니다,1
심플하고 직관적이라 좋아요,1
이런 서비스 기다렸어요,1
깔끔하고 보기 좋아요,1
아무 문제 없이 잘 됩니다,1
기분 좋아지는 앱이에요,1
업데이트 후 더 좋아졌어요,1
재구매 의사 있어요,1
너무너무 만족스러워요,1
감사합니다 정말 좋아요,1
이거 만든 분 상 줘야 해요,1
덕분에 일이 쉬워졌어요,1
시간 절약돼서 좋아요,1
개발자님 최고에요,1
친구한테 자랑했어요,1
고객 응대가 정말 좋았어요,1
성의 있는 포장 감사해요,1
계속 사용 중이에요,1
이 가격에 이 정도면 훌륭하죠,1
다음에도 또 구매할게요,1
정말 잘 샀어요,1
성능이 기대 이상이에요,1
내부 디자인이 고급스러워요,1
앱 구성이 마음에 들어요,1
지금까지 이런 앱은 없었어요,1
모두에게 추천하고 싶어요,1
이 제품 진짜 마음에 들어요,1
배송도 빠르고 친절했어요,1
완전 만족해요,1
서비스가 정말 좋았어요,1
친구에게 추천하고 싶어요,1
무과금으로 즐기기 좋아요,1
디자인도 예쁘고 성능도 좋아요,1
매번 사용할 때마다 기분이 좋아요,1
편리하고 간편해서 자주 써요,1
생각보다 더 괜찮았어요,1
아이들이 너무 좋아해요,1
요즘 제일 잘 쓰는 앱이에요,1
만족스럽습니다,1
대박이에요,1
최고예요,1
